
H:\Amazon\EC2>psql -U ubuntu -h ec2.cmack.org -d production -f pm-number.sql 
Output format is unaligned.
Field separator is "	".
maptype	book	page	number
Parcel Map	6	26	684
Parcel Map	6	27	685
Parcel Map	6	29	686
Parcel Map	6	30	687
Parcel Map	6	31	688
Parcel Map	6	32	689
Parcel Map	6	34	690
Parcel Map	6	35	691
Parcel Map	6	36	692
Parcel Map	6	37	693
Parcel Map	6	39	694
Parcel Map	6	40	695
Parcel Map	6	41	696
Parcel Map	6	42	697
Parcel Map	6	44	698
Parcel Map	6	45	699
Parcel Map	6	46	700
Parcel Map	6	49	701
Parcel Map	6	50	702
Parcel Map	6	51	703
Parcel Map	6	53	704
Parcel Map	6	54	705
Parcel Map	6	56	706
Parcel Map	6	57	707
Parcel Map	6	58	708
Parcel Map	6	59	709
Parcel Map	6	60	710
Parcel Map	6	61	711
Parcel Map	6	63	712
Parcel Map	6	64	713
Parcel Map	6	66	714
Parcel Map	6	68	715
Parcel Map	6	70	716
Parcel Map	6	71	717
Parcel Map	6	72	718
Parcel Map	6	73	719
Parcel Map	6	74	720
Parcel Map	6	75	721
Parcel Map	6	77	722
Parcel Map	6	78	723
Parcel Map	6	79	724
Parcel Map	6	80	725
Parcel Map	6	82	726
Parcel Map	6	83	727
Parcel Map	6	84	728
Parcel Map	6	85	729
Parcel Map	6	86	730
Parcel Map	6	87	731
Parcel Map	6	88	732
Parcel Map	6	90	733
Parcel Map	6	92	734
Parcel Map	6	94	735
Parcel Map	6	95	736
Parcel Map	6	96	737
Parcel Map	6	97	738
Parcel Map	6	99	739
Parcel Map	6	100	740
Parcel Map	6	101	741
Parcel Map	6	102	742
Parcel Map	6	103	743
Parcel Map	6	104	744
Parcel Map	6	106	745
Parcel Map	6	108	746
Parcel Map	6	109	747
Parcel Map	6	110	748
Parcel Map	6	111	749
Parcel Map	6	112	750
Parcel Map	6	113	751
Parcel Map	6	115	752
Parcel Map	6	117	753
Parcel Map	6	118	754
Parcel Map	6	119	755
Parcel Map	6	120	756
Parcel Map	6	121	757
Parcel Map	6	123	758
Parcel Map	6	124	759
Parcel Map	6	125	760
Parcel Map	6	127	761
Parcel Map	6	128	762
Parcel Map	6	129	763
Parcel Map	6	131	764
Parcel Map	6	132	765
Parcel Map	6	134	766
Parcel Map	6	135	767
Parcel Map	6	136	768
Parcel Map	6	137	769
Parcel Map	6	138	770
Parcel Map	6	140	771
Parcel Map	6	141	772
Parcel Map	6	142	773
Parcel Map	6	143	774
Parcel Map	6	144	775
Parcel Map	6	145	776
Parcel Map	6	147	777
Parcel Map	6	148	778
Parcel Map	6	149	779
Parcel Map	6	150	780
Parcel Map	7	1	781
Parcel Map	7	3	782
Parcel Map	7	4	783
Parcel Map	7	6	784
Parcel Map	7	7	785
Parcel Map	7	8	786
Parcel Map	7	9	787
Parcel Map	7	10	788
Parcel Map	7	11	789
Parcel Map	7	12	790
Parcel Map	7	14	791
Parcel Map	7	15	792
Parcel Map	7	16	793
Parcel Map	7	17	794
Parcel Map	7	18	795
Parcel Map	7	19	796
Parcel Map	7	21	797
Parcel Map	7	22	798
Parcel Map	7	23	799
Parcel Map	7	24	800
Parcel Map	7	25	801
Parcel Map	7	27	802
Parcel Map	7	28	803
Parcel Map	7	29	804
Parcel Map	7	30	805
Parcel Map	7	31	806
Parcel Map	7	32	807
Parcel Map	7	33	808
Parcel Map	7	34	809
Parcel Map	7	35	810
Parcel Map	7	36	811
Parcel Map	7	37	812
Parcel Map	7	38	813
Parcel Map	7	39	814
Parcel Map	7	40	815
Parcel Map	7	41	816
Parcel Map	7	43	817
Parcel Map	7	44	818
Parcel Map	7	45	819
Parcel Map	7	53	820
Parcel Map	7	54	821
Parcel Map	7	55	822
Parcel Map	7	56	823
Parcel Map	7	57	824
Parcel Map	7	58	825
Parcel Map	7	59	826
Parcel Map	7	60	827
Parcel Map	7	61	828
Parcel Map	7	62	829
Parcel Map	7	64	830
Parcel Map	7	65	831
Parcel Map	7	66	832
Parcel Map	7	67	833
Parcel Map	7	68	834
Parcel Map	7	71	835
Parcel Map	7	73	836
Parcel Map	7	74	837
Parcel Map	7	78	838
Parcel Map	7	80	839
Parcel Map	7	83	840
Parcel Map	7	84	841
Parcel Map	7	85	842
Parcel Map	7	88	843
Parcel Map	7	90	844
Parcel Map	7	91	845
Parcel Map	7	92	846
Parcel Map	7	94	847
Parcel Map	7	95	848
Parcel Map	7	97	849
Parcel Map	7	98	850
Parcel Map	7	99	851
Parcel Map	7	100	852
Parcel Map	7	101	853
Parcel Map	7	103	854
Parcel Map	7	104	855
Parcel Map	7	105	856
Parcel Map	7	106	857
Parcel Map	7	107	858
Parcel Map	7	108	859
Parcel Map	7	109	860
Parcel Map	7	111	861
Parcel Map	7	115	862
Parcel Map	7	116	863
Parcel Map	7	117	864
Parcel Map	7	118	865
Parcel Map	7	119	866
Parcel Map	7	121	867
Parcel Map	7	123	697 AMENDED
Parcel Map	7	125	868
Parcel Map	7	126	869
Parcel Map	7	128	870
Parcel Map	7	129	871
Parcel Map	7	130	872
Parcel Map	7	132	873
Parcel Map	7	134	874
Parcel Map	7	135	875
Parcel Map	7	136	876
Parcel Map	7	137	877
Parcel Map	7	138	878
Parcel Map	7	139	879
Parcel Map	7	140	880
Parcel Map	7	141	881
Parcel Map	7	142	882
Parcel Map	7	143	883
Parcel Map	7	144	884
Parcel Map	7	145	885
Parcel Map	7	146	886
Parcel Map	7	148	887
Parcel Map	7	150	888
Parcel Map	8	1	889
Parcel Map	8	3	890
Parcel Map	8	5	891
Parcel Map	8	6	892
Parcel Map	8	8	893
Parcel Map	8	9	894
Parcel Map	8	10	895
Parcel Map	8	11	896
Parcel Map	8	13	897
Parcel Map	8	14	898
Parcel Map	8	15	899
Parcel Map	8	17	900
Parcel Map	8	18	901
Parcel Map	8	19	902
Parcel Map	8	21	903
Parcel Map	8	22	904
Parcel Map	8	24	905
Parcel Map	8	25	906
Parcel Map	8	26	907
Parcel Map	8	27	908
Parcel Map	8	28	909
Parcel Map	8	29	910
Parcel Map	8	31	911
Parcel Map	8	33	912
Parcel Map	8	34	913
Parcel Map	8	35	914
Parcel Map	8	36	915
Parcel Map	8	37	916
Parcel Map	8	39	917
Parcel Map	8	40	918
Parcel Map	8	41	919
Parcel Map	8	42	920
Parcel Map	8	43	921
Parcel Map	8	44	922
Parcel Map	8	45	923
Parcel Map	8	46	924
Parcel Map	8	47	925
Parcel Map	8	48	926
Parcel Map	8	49	927
Parcel Map	8	50	928
Parcel Map	8	51	929
Parcel Map	8	52	930
Parcel Map	8	54	931
Parcel Map	8	55	932
Parcel Map	8	57	933
Parcel Map	8	58	934
Parcel Map	8	59	935
Parcel Map	8	62	936
Parcel Map	8	63	937
Parcel Map	8	64	938
Parcel Map	8	65	939
Parcel Map	8	66	940
Parcel Map	8	67	941
Parcel Map	8	68	546 AMENDED
Parcel Map	8	71	942
Parcel Map	8	73	943
Parcel Map	8	75	944
Parcel Map	8	76	945
Parcel Map	8	78	946
Parcel Map	8	80	947
Parcel Map	8	81	948
Parcel Map	8	82	949
Parcel Map	8	83	950
Parcel Map	8	84	951
Parcel Map	8	85	952
Parcel Map	8	86	953
