
H:\Amazon\EC2>psql -U ubuntu -h ec2.cmack.org -d production -f tr-number.sql 
Output format is unaligned.
Field separator is "	".
maptype	book	page	tract
Record Map	24	25	591
Record Map	24	27	592
Record Map	24	30	593
Record Map	24	33	594
Record Map	24	35	595
Record Map	24	39	596
Record Map	24	42	597
Record Map	24	44	598
Record Map	24	48	599
Record Map	24	50	600
Record Map	24	52	601
Record Map	24	55	602
Record Map	24	57	603
Record Map	24	60	604
Record Map	24	65	605
Record Map	24	68	606
Record Map	24	71	607
Record Map	24	73	608
Record Map	24	75	609
Record Map	24	80	610
Record Map	24	83	611
Record Map	24	86	612
Record Map	24	88	613
Record Map	24	92	614
Record Map	24	95	615
Record Map	24	98	616
Record Map	24	102	617
Record Map	24	105	618
Record Map	24	107	619
Record Map	24	110	620
Record Map	24	112	621
Record Map	24	116	622
Record Map	24	120	623
Record Map	24	124	624
Record Map	24	127	625
Record Map	24	130	626
Record Map	24	135	627
Record Map	24	139	628
Record Map	24	141	629
Record Map	24	143	630
Record Map	24	145	631
Record Map	24	148	632
Record Map	25	1	633
Record Map	25	5	634
Record Map	25	9	635
Record Map	25	11	636
Record Map	25	13	637
Record Map	25	17	638
Record Map	25	20	639
Record Map	25	24	640
Record Map	25	30	641
Record Map	25	32	642
Record Map	25	34	643
Record Map	25	37	644
Record Map	25	42	645
Record Map	25	46	646
Record Map	25	48	647
Record Map	25	52	648
Record Map	25	54	649
(653 rows)
